ENSRNOG00000011137_Zbtb41,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011138_Rpl29,[1],[1],[1],[1],[1],[1]
ENSRNOG00000011141_Serpina11,[0],[0],[0],[0],[0],[0]
ENSRNOG00000011146_Gyg1,"[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
ENSRNOG00000011157_Jak1,"[0, 0, 0, 2]","[1, 1, 1, 2]","[0, 0, 0, 2]","[0, 0, 0, 2]","[0, 0, 0, 2]","[0, 0, 0, 2]"
ENSRNOG00000011164_Coq6,"[1, 1]","[0, 0]","[2, 2]","[2, 2]","[0, 1]","[0, 1]"
ENSRNOG00000011170_RGD1359634,[0],[1],[1],[2],[2],[2]
ENSRNOG00000011177_Sftpc,[0],[0],[0],[0],[0],[0]
ENSRNOG00000011191_Vom2r10,"[1, 1, 1]","[1, 1, 1]","[1, 1, 0]","[1, 1, 0]","[1, 1, 0]","[1, 1, 0]"
ENSRNOG00000011196_Krt25,[0],[1],[0],[0],[2],[2]
ENSRNOG00000011199_Parp6,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011213_Blm,[1],[0],[1],[1],[0],[1]
ENSRNOG00000011226_Timm8a1,"[0, 1]","[0, 0]","[0, 1]","[1, 1]","[0, 0]","[0, 1]"
ENSRNOG00000011228_Layn,"[1, 0]","[0, 1]","[0, 1]","[1, 1]","[1, 0]","[1, 0]"
ENSRNOG00000011231_Cntnap4,[1],[0],[1],[0],[0],[0]
ENSRNOG00000011234_AC091336.1,"[2, 2]","[2, 2]","[2, 2]","[1, 1]","[1, 1]","[1, 1]"
ENSRNOG00000011238_Tiparp,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000011241_Tfdp2,"[0, 0]","[1, 0]","[0, 1]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000011262_Gltscr1,[2],[1],[2],[2],[2],[2]
ENSRNOG00000011269_Sult1c3,[1],[1],[1],[1],[0],[0]
ENSRNOG00000011277_Btg4,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000011278_Stk3,"[1, 1]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000011290_Tm2d3,"[0, 1, 1, 1, 2]","[1, 1, 1, 1, 2]","[1, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]"
ENSRNOG00000011293_Hpf1,"[0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000011296_Cenpn,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000011302_Rab11a,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011310_Pde10a,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011311_Papss1,[2],[0],[1],[0],[0],[0]
ENSRNOG00000011313_Sorcs1,[0],[1],[1],[0],[0],[0]
ENSRNOG00000011315_Med16,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011321_Rftn1,"[0, 2]","[0, 2]","[0, 2]","[0, 2]","[0, 2]","[0, 2]"
ENSRNOG00000011332_Clspn,[2],[2],[2],[1],[2],[2]
ENSRNOG00000011341_Rictor,[0],[0],[0],[1],[0],[0]
ENSRNOG00000011346_Ehd2,[1],[0],[2],[2],[1],[1]
ENSRNOG00000011351_Mat1a,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011358_Hipk3,[0],[1],[0],[2],[0],[0]
ENSRNOG00000011379_Ccndbp1,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
ENSRNOG00000011381_Acsbg1,[1],[0],[0],[0],[0],[0]
ENSRNOG00000011382_Wdr33,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011387_Tet3,"[1, 0]","[1, 0]","[1, 0]","[0, 0]","[1, 0]","[1, 0]"
ENSRNOG00000011391_Rbsn,"[0, 0]","[1, 1]","[1, 1]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000011397_LOC100910977,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011407_Prag1,"[1, 2, 1, 1]","[2, 2, 0, 0]","[1, 2, 1, 1]","[1, 2, 1, 1]","[1, 2, 1, 1]","[1, 2, 1, 1]"
ENSRNOG00000011411_Adgrg6,"[2, 2]","[1, 2]","[2, 2]","[1, 2]","[2, 2]","[2, 2]"
ENSRNOG00000011417_Pde3b,[2],[0],[2],[0],[1],[1]
ENSRNOG00000011421_Smap2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011425_Ptpn3,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011427_Hr,[1],[2],[2],[1],[1],[1]
ENSRNOG00000011441_Tpd52,[2],[1],[2],[2],[2],[2]
ENSRNOG00000011446_Vill,"[1, 2]","[1, 1]","[1, 2]","[1, 1]","[1, 2]","[1, 2]"
ENSRNOG00000011448_Eri1,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000011453_Kif6,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011460_Arfgef3,[1],[0],[0],[0],[0],[0]
ENSRNOG00000011461_Ap3m1,"[0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
ENSRNOG00000011463_Psmb2,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000011467_Uck1,"[0, 2, 2]","[1, 1, 1]","[0, 2, 2]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
ENSRNOG00000011470_Tsc1,"[1, 1, 1]","[2, 2, 2]","[2, 2, 2]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
ENSRNOG00000011498_Psip1,[1],[1],[0],[0],[0],[0]
ENSRNOG00000011504_Akap2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011511_Stk24,[0],[0],[1],[1],[0],[0]
ENSRNOG00000011519_Orc5,"[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000011550_Kcnab2,[1],[0],[0],[0],[0],[0]
ENSRNOG00000011555_Lrrc40,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000011559_Cnn3,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011560_Mtmr9,[0],[0],[0],[0],[0],[0]
ENSRNOG00000011561_Nln,[0],[2],[0],[1],[1],[1]
ENSRNOG00000011563_Olr1199,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011566_Cecr2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011575_Adamts18,"[0, 1]","[0, 0]","[0, 0]","[1, 0]","[0, 0]","[1, 0]"
ENSRNOG00000011584_Gpatch1,"[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[1, 1]"
ENSRNOG00000011585_Fat3,"[0, 2, 0]","[0, 1, 0]","[1, 2, 1]","[1, 2, 1]","[0, 1, 0]","[0, 1, 0]"
ENSRNOG00000011588_Rnf146,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000011606_LOC680385,"[1, 1, 1, 1, 1, 1, 1, 3, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 3, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
ENSRNOG00000011611_Mapk1ip1l,[1],[1],[1],[1],[1],[1]
ENSRNOG00000011613_Ppip5k2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011618_Mmaa,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[1, 1]","[0, 0]"
ENSRNOG00000011624_Kcnq2,[2],[2],[2],[1],[2],[2]
ENSRNOG00000011627_Zfr,"[1, 0, 1]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000011635_Ces2e,"[0, 0, 0, 2]","[1, 1, 1, 0]","[0, 0, 0, 2]","[1, 1, 1, 1]","[2, 2, 2, 0]","[0, 0, 0, 2]"
ENSRNOG00000011636_Dennd6a,"[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
ENSRNOG00000011648_Aqp1,[0],[1],[1],[0],[0],[0]
ENSRNOG00000011649_Epb42,[0],[1],[1],[1],[1],[1]
ENSRNOG00000011652_Sppl2a,[1],[1],[1],[2],[2],[2]
ENSRNOG00000011653_Washc2c,"[0, 0, 2, 2]","[1, 1, 2, 2]","[0, 0, 2, 2]","[0, 0, 2, 2]","[0, 0, 2, 2]","[0, 0, 2, 2]"
ENSRNOG00000011654_Plk4,"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000011658_Tex30,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011659_Alpk3,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011677_Slc39a10,"[2, 0, 1, 0, 0, 0, 0]","[2, 1, 1, 1, 1, 1, 1]","[2, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000011680_Il16,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011688_Neil3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000011700_Ptprm,[0],[0],[0],[0],[0],[0]
ENSRNOG00000011718_C1rl,"[2, 0, 1]","[2, 0, 2]","[2, 0, 1]","[2, 0, 0]","[1, 1, 0]","[1, 1, 0]"
ENSRNOG00000011719_Ngb,"[0, 0]","[0, 0]","[0, 0]","[1, 0]","[0, 0]","[0, 0]"
ENSRNOG00000011723_Slc44a3,"[0, 0, 0]","[0, 0, 0]","[1, 0, 1]","[1, 1, 0]","[0, 0, 0]","[0, 0, 2]"
ENSRNOG00000011747_Tmem205,[1],[0],[0],[1],[0],[2]
ENSRNOG00000011751_Ncdn,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011754_Myom2,"[1, 0]","[2, 1]","[2, 1]","[1, 0]","[1, 0]","[2, 0]"
ENSRNOG00000011762_Elf1,[1],[1],[2],[2],[1],[1]
ENSRNOG00000011778_Blvra,"[1, 1]","[0, 1]","[0, 1]","[0, 2]","[0, 2]","[0, 2]"
ENSRNOG00000011794_Tcea3,[2],[2],[0],[1],[2],[2]
ENSRNOG00000011796_C1r,"[1, 1, 1, 1]","[2, 2, 2, 2]","[1, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]"
ENSRNOG00000011798_Mapre1,"[1, 1]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000011800_F3,[0],[0],[1],[0],[0],[0]
ENSRNOG00000011804_Stx12,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011808_Ghrhr,[0],[2],[1],[0],[0],[0]
ENSRNOG00000011824_Trh,[0],[1],[1],[0],[0],[0]
ENSRNOG00000011829_Rpgrip1l,"[2, 2]","[2, 2]","[2, 2]","[3, 1]","[2, 2]","[2, 2]"
ENSRNOG00000011831_Nudt18,[0],[0],[0],[0],[0],[0]
ENSRNOG00000011844_Ints12,[0],[0],[0],[0],[1],[0]
ENSRNOG00000011846_Krt28,[1],[0],[1],[1],[1],[1]
ENSRNOG00000011875_Slc2a2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011884_Golga2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011885_Rhpn2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011895_LOC691143,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011909_Rasa2,"[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000011914_Dtnb,[0],[0],[0],[0],[0],[0]
ENSRNOG00000011922_Stt3b,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011925_Fam83b,"[2, 0]","[1, 1]","[0, 2]","[0, 2]","[0, 2]","[0, 2]"
ENSRNOG00000011932_Snrpa1,[0],[1],[0],[0],[0],[0]
ENSRNOG00000011947_Tifab,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011967_Nphp4,[0],[0],[0],[1],[0],[0]
ENSRNOG00000011969_Dock9,"[2, 2, 2]","[2, 2, 2]","[1, 1, 3]","[1, 1, 3]","[2, 2, 2]","[2, 2, 2]"
ENSRNOG00000011971_C1s,[1],[1],[1],[1],[1],[1]
ENSRNOG00000011976_Nudt7,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000011980_Lrrc7,[2],[2],[2],[2],[2],[2]
ENSRNOG00000011986_Krt12,"[0, 1]","[1, 0]","[0, 1]","[0, 1]","[1, 1]","[1, 1]"
ENSRNOG00000012002_Iqgap1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000012016_Npc1,"[0, 0, 2]","[1, 1, 2]","[0, 0, 2]","[0, 0, 2]","[0, 0, 2]","[0, 0, 2]"
ENSRNOG00000012021_Ctnnbl1,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012027_Bco1,"[0, 0]","[2, 2]","[1, 1]","[1, 1]","[0, 0]","[0, 0]"
ENSRNOG00000012034_Ces2i,"[1, 1, 1]","[1, 1, 1]","[2, 2, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
ENSRNOG00000012045_Adgrb3,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012061_Prkcb,[1],[0],[0],[0],[0],[1]
ENSRNOG00000012067_Fam111a,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 0]"
ENSRNOG00000012071_Olr41,"[2, 2, 0, 2, 1, 0, 0]","[2, 2, 0, 2, 1, 1, 0]","[1, 2, 1, 1, 1, 1, 0]","[2, 2, 0, 2, 1, 0, 0]","[1, 2, 1, 1, 1, 1, 0]","[1, 2, 1, 1, 1, 1, 0]"
ENSRNOG00000012074_Ifngr1,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000012087_Ufsp2,"[2, 2]","[1, 1]","[2, 1]","[2, 2]","[2, 1]","[2, 1]"
ENSRNOG00000012088_LOC100364265,[0],[0],[2],[1],[2],[2]
ENSRNOG00000012094_Ltbp2,"[0, 1, 2, 0]","[1, 0, 1, 1]","[0, 0, 2, 0]","[0, 0, 2, 0]","[1, 0, 0, 1]","[1, 0, 0, 1]"
ENSRNOG00000012099_Papd4,[0],[2],[1],[1],[2],[2]
ENSRNOG00000012106_Dnaja4,[0],[1],[0],[1],[0],[0]
ENSRNOG00000012108_Thsd1,[2],[2],[1],[2],[2],[1]
ENSRNOG00000012109_Fam105a,[2],[2],[2],[2],[2],[2]
ENSRNOG00000012111_Poli,"[2, 0]","[1, 1]","[2, 1]","[0, 0]","[2, 0]","[1, 0]"
ENSRNOG00000012122_Clvs2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012134_Scn4a,"[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[1, 1, 1, 1, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[1, 1, 1, 1, 2]"
ENSRNOG00000012141_Xrcc3,"[2, 0]","[2, 0]","[1, 0]","[2, 1]","[2, 1]","[2, 1]"
ENSRNOG00000012146_Pomt2,[1],[2],[2],[1],[2],[2]
ENSRNOG00000012147_Nop14,"[0, 0]","[0, 0]","[2, 2]","[0, 0]","[0, 0]","[1, 1]"
ENSRNOG00000012148_Trio,"[4, 2, 2]","[2, 0, 2]","[2, 0, 2]","[2, 0, 2]","[2, 0, 2]","[2, 0, 2]"
ENSRNOG00000012165_Ccdc129,"[2, 0]","[4, 2]","[3, 1]","[2, 0]","[2, 0]","[2, 0]"
ENSRNOG00000012166_Adal,"[0, 0]","[1, 0]","[0, 0]","[0, 1]","[0, 1]","[0, 1]"
ENSRNOG00000012178_Lmbrd1,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012181_Lpl,"[0, 1, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
ENSRNOG00000012205_Lgsn,[2],[0],[0],[1],[0],[1]
ENSRNOG00000012207_Dst,"[2, 0, 2, 0, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2]","[2, 0, 2, 0, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 1]","[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1]","[2, 0, 2, 0, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2]"
ENSRNOG00000012222_Cdh16,"[2, 2]","[0, 0]","[2, 2]","[1, 1]","[0, 0]","[2, 2]"
ENSRNOG00000012228_Skap2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012237_Rdx,"[1, 1]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000012240_Supt6h;ENSRNOG00000012240_Supt6h,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012255_Ktn1,"[0, 0, 0, 2]","[1, 0, 1, 2]","[0, 0, 0, 2]","[0, 0, 0, 2]","[0, 1, 0, 1]","[0, 1, 0, 1]"
ENSRNOG00000012259_Il22ra2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012262_Depdc7,"[1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000012263_Cnot7,[1],[1],[0],[0],[0],[0]
ENSRNOG00000012264_Alkbh1,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
ENSRNOG00000012266_Zcchc17,"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
ENSRNOG00000012274_Ddi2,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]","[2, 2, 2]","[2, 2, 2]","[2, 2, 2]"
ENSRNOG00000012280_Ptx3,"[1, 1]","[2, 2]","[2, 2]","[2, 2]","[2, 2]","[2, 2]"
ENSRNOG00000012283_Chrna6,[1],[2],[2],[1],[2],[2]
ENSRNOG00000012284_Khdrbs2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012286_Il20ra,"[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000012292_Alg8,"[2, 2, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[2, 2, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]"
ENSRNOG00000012294_Heph,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012315_Agmat,[1],[1],[0],[0],[0],[0]
ENSRNOG00000012318_Aspm,"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 1, 2, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000012324_NEWGENE_1307525,[1],[1],[2],[1],[2],[2]
ENSRNOG00000012325_Adk,"[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
ENSRNOG00000012329_Saraf,[2],[1],[1],[2],[1],[1]
ENSRNOG00000012333_Kbtbd11,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012340_Tmco2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000012367_Pcdh7,[0],[0],[1],[1],[0],[0]
ENSRNOG00000012386_Zbtb38,[0],[0],[1],[0],[0],[0]
ENSRNOG00000012390_Npw,[2],[2],[2],[2],[2],[2]
ENSRNOG00000012392_Dnajc2,[0],[1],[0],[0],[0],[0]
ENSRNOG00000012396_Rgr,[2],[2],[2],[2],[2],[2]
ENSRNOG00000012419_Zscan29,"[0, 0]","[1, 0]","[1, 0]","[0, 1]","[0, 1]","[0, 1]"
ENSRNOG00000012420_Bcl9l,[2],[1],[0],[1],[0],[0]
ENSRNOG00000012427_Veph1,[2],[0],[0],[0],[0],[1]
ENSRNOG00000012440_Msra,[2],[2],[2],[2],[2],[2]
ENSRNOG00000012454_Trmt10b,[1],[2],[1],[2],[1],[1]
ENSRNOG00000012457_Cyc1,"[1, 0, 1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
ENSRNOG00000012467_Il17a,[2],[2],[1],[2],[2],[2]
ENSRNOG00000012471_Thbs4,[1],[0],[0],[0],[0],[0]
ENSRNOG00000012475_Prr5,[2],[2],[2],[2],[2],[2]
ENSRNOG00000012479_Impg1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000012486_Prim2,"[0, 0]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000012490_Amph,[2],[2],[2],[2],[2],[2]
ENSRNOG00000012495_Podxl,[0],[0],[0],[0],[0],[0]
ENSRNOG00000012500_Ddx10,"[2, 1]","[0, 0]","[2, 0]","[2, 1]","[2, 0]","[2, 0]"
ENSRNOG00000012505_Ppwd1,[0],[0],[0],[0],[0],[0]
ENSRNOG00000012512_Nexn,"[0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
ENSRNOG00000012521_Shisa2,[1],[0],[0],[0],[0],[0]
ENSRNOG00000012528_Zfyve19,"[1, 0]","[1, 0]","[0, 0]","[0, 1]","[1, 0]","[1, 0]"
ENSRNOG00000012535_Adgrf4,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[2, 2, 2]","[2, 2, 2]"
